"","sample","fastq_1","fastq_2","strandedness","ID","sf","Driver","Host","CDKN2AB","PTEN","Type","Clone","Replicate","OriginalOrder","Random_Sample_No","LibraryBatch","SeqBatch","SeqBatchSample","Adapter","QuickID","ID2"
"50","TK050","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_50_S6_R1_001.fastq.gz",NA,"auto","TK_50","TK_50_S6_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS1","16.10.1",2,50,42,4,4,"S6",11,"TK42","TK_050_S6"
"51","TK051","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_51_S9_R1_001.fastq.gz",NA,"auto","TK_51","TK_51_S9_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS1","16.10.1",3,51,105,9,9,"S9",22,"TK105","TK_051_S9"
"52","TK052","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_52_S5_R1_001.fastq.gz",NA,"auto","TK_52","TK_52_S5_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS1","16.10.2",1,52,53,5,5,"S5",10,"TK53","TK_052_S5"
"53","TK053","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_53_S3_R1_001.fastq.gz",NA,"auto","TK_53","TK_53_S3_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS1","16.10.2",2,53,75,7,7,"S3",8,"TK75","TK_053_S3"
"54","TK054","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_54_S3_R1_001.fastq.gz",NA,"auto","TK_54","TK_54_S3_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS1","16.10.2",3,54,111,10,10,"S3",8,"TK111","TK_054_S3"
"55","TK055","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_55_S6_R1_001.fastq.gz",NA,"auto","TK_55","TK_55_S6_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","Tumor","31.2.1",1,55,102,9,9,"S6",11,"TK102","TK_055_S6"
"56","TK056","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_56_S12_R1_001.fastq.gz",NA,"auto","TK_56","TK_56_S12_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS2","31.2.1",2,56,12,1,1,"S12",27,"TK12","TK_056_S12"
"57","TK057","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_57_S11_R1_001.fastq.gz",NA,"auto","TK_57","TK_57_S11_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS2","31.2.1",3,57,71,6,6,"S11",25,"TK71","TK_057_S11"
"58","TK058","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_58_S6_R1_001.fastq.gz",NA,"auto","TK_58","TK_58_S6_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS2","31.2.1",1,58,66,6,6,"S6",11,"TK66","TK_058_S6"
"59","TK059","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_59_S1_R1_001.fastq.gz",NA,"auto","TK_59","TK_59_S1_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","GBO","31.2.1",2,59,49,5,5,"S1",1,"TK49","TK_059_S1"
"60","TK060","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_60_S5_R1_001.fastq.gz",NA,"auto","TK_60","TK_60_S5_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","GBO","31.2.1",3,60,78,7,7,"S5",11,"TK78","TK_060_S5"
"61","TK061","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_61_S7_R1_001.fastq.gz",NA,"auto","TK_61","TK_61_S7_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","GBO","31.2.1",1,61,67,6,6,"S7",20,"TK67","TK_061_S7"
"62","TK062","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_62_S8_R1_001.fastq.gz",NA,"auto","TK_62","TK_62_S8_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","Tumor","31.2.3",2,62,44,4,4,"S8",21,"TK44","TK_062_S8"
"63","TK063","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_63_S9_R1_001.fastq.gz",NA,"auto","TK_63","TK_63_S9_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS2","31.2.3",3,63,82,7,7,"S9",23,"TK82","TK_063_S9"
"64","TK064","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_64_S4_R1_001.fastq.gz",NA,"auto","TK_64","TK_64_S4_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS2","31.2.3",1,64,52,5,5,"S4",9,"TK52","TK_064_S4"
"65","TK065","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_65_S6_R1_001.fastq.gz",NA,"auto","TK_65","TK_65_S6_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS2","31.2.3",2,65,6,1,1,"S6",11,"TK06","TK_065_S6"
"66","TK066","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_66_S10_R1_001.fastq.gz",NA,"auto","TK_66","TK_66_S10_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","GBO","31.2.3",3,66,76,10,10,"S10",23,"TK76","TK_066_S10"
"67","TK067","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_67_S5_R1_001.fastq.gz",NA,"auto","TK_67","TK_67_S5_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","GBO","31.2.3",1,67,5,1,1,"S5",10,"TK05","TK_067_S5"
"68","TK068","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_68_S7_R1_001.fastq.gz",NA,"auto","TK_68","TK_68_S7_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","GBO","31.2.3",2,68,7,1,1,"S7",20,"TK07","TK_068_S7"
"69","TK069","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_69_S6_R1_001.fastq.gz",NA,"auto","TK_69","TK_69_S6_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","Tumor","31.2.5",3,69,90,8,8,"S6",11,"TK90","TK_069_S6"
"70","TK070","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_70_S7_R1_001.fastq.gz",NA,"auto","TK_70","TK_70_S7_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS2","31.2.5",1,70,103,9,9,"S7",20,"TK103","TK_070_S7"
"71","TK071","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_71_S4_R1_001.fastq.gz",NA,"auto","TK_71","TK_71_S4_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS2","31.2.5",2,71,40,4,4,"S4",9,"TK40","TK_071_S4"
"72","TK072","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_72_S1_R1_001.fastq.gz",NA,"auto","TK_72","TK_72_S1_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","NS2","31.2.5",3,72,61,6,6,"S1",1,"TK61","TK_072_S1"
"73","TK073","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_73_S11_R1_001.fastq.gz",NA,"auto","TK_73","TK_73_S11_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","GBO","31.2.5",1,73,95,8,8,"S11",25,"TK95","TK_073_S11"
"74","TK074","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_74_S9_R1_001.fastq.gz",NA,"auto","TK_74","TK_74_S9_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","GBO","31.2.5",2,74,57,5,5,"S9",22,"TK57","TK_074_S9"
"75","TK075","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_75_S3_R1_001.fastq.gz",NA,"auto","TK_75","TK_75_S3_R1_001.sf","PDGFRA","BL6","Hom_del","Hom_del","GBO","31.2.5",3,75,51,5,5,"S3",8,"TK51","TK_075_S3"
"76","TK076","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_76_S2_R1_001.fastq.gz",NA,"auto","TK_76","TK_76_S2_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","Tumor","31.3.1",1,76,26,3,3,"S2",3,"TK26","TK_076_S2"
"77","TK077","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_77_S11_R1_001.fastq.gz",NA,"auto","TK_77","TK_77_S11_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS2","31.3.1",2,77,23,2,2,"S11",25,"TK23","TK_077_S11"
"78","TK078","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_78_S12_R1_001.fastq.gz",NA,"auto","TK_78","TK_78_S12_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS2","31.3.1",3,78,60,5,5,"S12",27,"TK60","TK_078_S12"
"79","TK079","/data/project/MillerLab/projects/mNSC/220902_RB_Tomo/01_fastq/TK_79_S4_R1_001.fastq.gz",NA,"auto","TK_79","TK_79_S4_R1_001.sf","EGFRvIII","BL6","Hom_del","Hom_del","NS2","31.3.1",1,79,77,7,7,"S4",10,"TK77","TK_079_S4"
