ID,sf,Driver,Host,CDKN2AB,PTEN,Type,Clone,Replicate,OriginalOrder,Random_Sample_No,LibraryBatch,SeqBatch,SeqBatchSample,Adapter,QuickID
TK_105,TK_105_S3_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS2,31.4.2,3,105,3,1,1,S3,8,TK03
TK_106,TK_106_S9_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS2,31.4.2,1,106,21,2,2,S9,22,TK21
TK_107,TK_107_S3_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS2,31.4.2,2,107,27,3,3,S3,8,TK27
TK_108,TK_108_S12_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,GBO,31.4.2,3,108,108,9,9,S12,27,TK108
TK_109,TK_109_S4_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,GBO,31.4.2,1,109,112,10,10,S4,9,TK112
TK_110,TK_110_S2_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,GBO,31.4.2,2,110,14,2,2,S2,3,TK14
TK_111,TK_111_S11_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,Tumor,31.4.3,3,111,11,1,1,S11,25,TK11
TK_112,TK_112_S12_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS2,31.4.3,1,112,24,2,2,S12,27,TK24
TK_113,TK_113_S10_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS2,31.4.3,2,113,46,4,4,S10,23,TK46
TK_114,TK_114_S12_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,NS2,31.4.3,3,114,36,3,3,S12,27,TK36
TK_115,TK_115_S6_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,GBO,31.4.3,1,115,114,10,10,S6,11,TK114
TK_116,TK_116_S8_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,GBO,31.4.3,2,116,104,9,9,S8,21,TK104
TK_117,TK_117_S2_R1_001.sf,EGFRvV,BL6,Hom_del,Hom_del,GBO,31.4.3,3,117,74,7,7,S2,3,TK74
